state_po,abs_error,error,squared_error,battleground
AK,0.006788590864627186,-0.006788590864627186,4.608496592729969e-05,False
AL,0.032479554309055136,-0.032479554309055136,0.0010549214481148622,False
AR,0.045838561742421846,-0.045838561742421846,0.00210117374261382,False
CA,0.017932635883995407,0.017932635883995407,0.0003215794297479597,False
CT,0.027821336134324137,-0.027821336134324137,0.0007740267442990499,False
DC,0.04005517041875839,0.04005517041875839,0.0016044166772757771,False
DE,0.030541500166112123,-0.030541500166112123,0.0009327832323966269,False
HI,0.005607488461117249,-0.005607488461117249,3.1443926841563097e-05,False
IA,0.04193741715490312,-0.04193741715490312,0.0017587469576243627,False
ID,0.06278371506025276,-0.06278371506025276,0.00394179487676701,False
IL,0.005036850694124073,-0.005036850694124073,2.5369864914898156e-05,False
IN,0.03169900461099395,-0.03169900461099395,0.001004826893327816,False
KS,0.03802705801284356,-0.03802705801284356,0.0014460571411121699,False
KY,0.04729060143788022,-0.04729060143788022,0.0022364009843564387,False
LA,0.00819748100779738,0.00819748100779738,6.719869487319875e-05,False
MA,0.03449096249180961,-0.03449096249180961,0.0011896264936114172,False
MD,0.014473636219375918,-0.014473636219375918,0.00020948614541083042,False
MO,0.02883093002253756,-0.02883093002253756,0.0008312225259644576,False
MS,0.009567094345880711,0.009567094345880711,9.152929422298267e-05,False
MT,0.0567524349391445,-0.0567524349391445,0.0032208388715218297,False
ND,0.07889114507310802,-0.07889114507310802,0.006223812770946175,False
NE,0.05173184951621412,-0.05173184951621412,0.0026761842543682234,False
NJ,0.036621008940915245,-0.036621008940915245,0.0013410982958505942,False
NY,0.07286064415370053,-0.07286064415370053,0.005308673466492175,False
OK,0.05307460835667199,-0.05307460835667199,0.0028169140522141165,False
OR,0.024079692695005317,-0.024079692695005317,0.0005798316002858924,False
RI,0.05931944270831346,-0.05931944270831346,0.0035187962832248835,False
SC,0.01760325306332622,-0.01760325306332622,0.0003098745184115039,False
SD,0.05103680845240888,-0.05103680845240888,0.0026047558170078744,False
TN,0.0637463109520422,-0.0637463109520422,0.004063592159994455,False
TX,0.022521479500332175,-0.022521479500332175,0.0005072170388838825,False
UT,0.05351075803050115,-0.05351075803050115,0.002863401224998843,False
VT,0.00998920071738385,-0.00998920071738385,9.978413097218203e-05,False
WA,0.0341037334664559,-0.0341037334664559,0.0011630646363510642,False
WV,0.029350360508237694,-0.029350360508237694,0.0008614436619635189,False
WY,0.05449880640891047,-0.05449880640891047,0.002970119899995901,False
AZ,0.02443613842264425,-0.02443613842264425,0.0005971248610106306,True
CO,0.011928298810406579,-0.011928298810406579,0.000142284312510347,True
FL,0.027354626623460332,-0.027354626623460332,0.0007482755977089248,True
GA,0.015437763300016893,-0.015437763300016893,0.00023832453570734848,True
ME,0.01521687226057089,-0.01521687226057089,0.00023155320139453184,True
MI,0.023048810186334756,-0.023048810186334756,0.0005312476510056888,True
MN,0.023288927470468956,-0.023288927470468956,0.0005423741427247636,True
NC,0.02558645109994412,-0.02558645109994412,0.0006546664798898316,True
NH,0.012347974607406775,-0.012347974607406775,0.0001524724769051625,True
NM,0.0032973536846224727,0.0032973536846224727,1.0872541321493397e-05,True
NV,0.00029998933115016335,-0.00029998933115016335,8.999359880392237e-08,True
OH,0.030852579484532516,-0.030852579484532516,0.0009518816608493967,True
PA,0.02665460358413818,-0.02665460358413818,0.0007104678922275519,True
VA,0.025271575302769467,-0.025271575302769467,0.0006386525182835477,True
WI,0.05024665235284831,-0.05024665235284831,0.0025247260726679963,True
