model,end_date,battleground,error
logistic_04,2020-10-31,True,-0.018447615781239126
logistic_04,2020-10-31,False,-0.030017051019066314
logistic_04,2020-09-14,True,-0.016888386801643982
logistic_04,2020-09-14,False,-0.021675029901905632
logistic_04,2020-07-26,True,-0.008782531659624318
logistic_04,2020-07-26,False,-0.023349439744078434
