state_po,abs_error,error,squared_error,battleground
AK,0.04621708431785715,-0.04621708431785715,0.0021360188828439173,False
AL,0.10176224687511054,-0.10176224687511054,0.010355554889070945,False
AR,0.12769210406737702,-0.12769210406737702,0.016305273441153845,False
CA,0.0762819528185873,0.0762819528185873,0.005818936325817178,False
CT,0.056889054592954125,0.056889054592954125,0.003236364532480115,False
DC,0.3980717005100243,0.3980717005100243,0.15846107874694246,False
DE,0.07557938693335753,0.07557938693335753,0.0057122437292221745,False
HI,0.12809028517424925,0.12809028517424925,0.0164071211560205,False
IA,0.038275818370664794,-0.038275818370664794,0.0014650382719441205,False
ID,0.14802521006445107,-0.14802521006445107,0.021911462814624867,False
IL,0.04983550900802736,0.04983550900802736,0.002483577958089176,False
IN,0.06268259871006349,-0.06268259871006349,0.003929108181046853,False
KS,0.06807878578063353,-0.06807878578063353,0.004634721073365391,False
KY,0.08376511389278113,-0.08376511389278113,0.007016594305470594,False
LA,0.0751685960644875,-0.0751685960644875,0.005650317834306086,False
MA,0.0893876214224879,0.0893876214224879,0.00799014686357002,False
MD,0.1273035076305694,0.1273035076305694,0.016206183055046446,False
MO,0.06843966651024663,-0.06843966651024663,0.004683987952033774,False
MS,0.06524191337626156,-0.06524191337626156,0.004256507260995617,False
MT,0.06072538136504857,-0.06072538136504857,0.003687571941930588,False
ND,0.15146326722957876,-0.15146326722957876,0.022941121319858787,False
NE,0.09442569654316013,-0.09442569654316013,0.008916212167660963,False
NJ,0.020728959058509022,0.020728959058509022,0.00042968974364934325,False
NY,0.0051085360485513265,-0.0051085360485513265,2.6097140559348402e-05,False
OK,0.14612674322556335,-0.14612674322556335,0.021353025085709725,False
OR,0.0636754778898656,0.0636754778898656,0.004054566484502763,False
RI,0.09291053426162776,0.09291053426162776,0.008632367376781106,False
SC,0.04820852779000723,-0.04820852779000723,0.002324062151679899,False
SD,0.12037073160250855,-0.12037073160250855,0.014489113026523151,False
TN,0.08773949572144224,-0.08773949572144224,0.0076982191094529815,False
TX,0.02852347637223196,-0.02852347637223196,0.0008135887043572748,False
UT,0.08288103025646354,-0.08288103025646354,0.006869265176372825,False
VT,0.15108444580468516,0.15108444580468516,0.022826509764108847,False
WA,0.042897401019883374,0.042897401019883374,0.0018401870142606912,False
WV,0.17045643491963336,-0.17045643491963336,0.029055396205511203,False
WY,0.19329361420748775,-0.19329361420748775,0.03736242129339311,False
AZ,0.01168896942879527,-0.01168896942879527,0.00013663200630731044,True
CO,0.030057955395525693,0.030057955395525693,0.0009034806825594121,True
FL,0.039384854925344825,-0.039384854925344825,0.0015511667974904585,True
GA,0.0022804428778852026,-0.0022804428778852026,5.200419719297345e-06,True
ME,0.026946815993596496,0.026946815993596496,0.0007261308921927479,True
MI,0.026503231396680427,-0.026503231396680427,0.0007024212744659871,True
MN,0.002147592363039741,0.002147592363039741,4.612152957786618e-06,True
NC,0.01602431066779536,-0.01602431066779536,0.0002567785323780202,True
NH,0.01798014035331308,0.01798014035331308,0.00032328544712483735,True
NM,0.04882802243970308,0.04882802243970308,0.0023841757753721472,True
NV,0.01048162682864362,0.01048162682864362,0.00010986450097494171,True
OH,0.03940262945216366,-0.03940262945216366,0.0015525672077445153,True
PA,0.024035545736450947,-0.024035545736450947,0.0005777074588490253,True
VA,0.01762258249161608,0.01762258249161608,0.0003105554136738136,True
WI,0.026813670232600395,-0.026813670232600395,0.0007189729113426405,True
