model,end_date,battleground,error
lambda_1,2020-10-31,True,-0.009007415582855586
lambda_1,2020-10-31,False,-0.029363445691776686
lambda_1,2020-09-14,True,-0.02808956420150189
lambda_1,2020-09-14,False,-0.015473664550150232
lambda_1,2020-07-26,True,-0.013390801421666798
lambda_1,2020-07-26,False,-0.025214744270705566
