model,battleground MAE,non-battleground MAE
ewma_03_lw,0.01954651168696959,0.03472616262616668
ewma_03,0.016323836472574696,0.033380951006762166
ewma_01_lw,0.0230067601472086,0.04046097477153795
ewma_01,0.020694399831607868,0.03623851293011212
ewma_1,0.013867372156017724,0.035453499224794176
