state_po,abs_error,error,squared_error,battleground
AK,0.00563353041672765,-0.00563353041672765,3.173666495619561e-05,False
AL,0.03336299520865532,-0.03336299520865532,0.001113089449292758,False
AR,0.045156420338352155,-0.045156420338352155,0.002039102297773944,False
CA,0.017929828178464446,0.017929828178464446,0.0003214787385092577,False
CT,0.024709232331752262,-0.024709232331752262,0.0006105461624245113,False
DC,0.019484412616814106,0.019484412616814106,0.0003796423350222647,False
DE,0.023023287765508882,-0.023023287765508882,0.000530071779533431,False
HI,0.010850274986167419,-0.010850274986167419,0.00011772846727545037,False
IA,0.04003642910444549,-0.04003642910444549,0.0016029156554352901,False
ID,0.060105510769037196,-0.060105510769037196,0.0036126724248068463,False
IL,0.005033852472551947,-0.005033852472551947,2.5339670715417355e-05,False
IN,0.030975812790601576,-0.030975812790601576,0.0009595009780383962,False
KS,0.03578646126813734,-0.03578646126813734,0.0012806708100958938,False
KY,0.04458099926476011,-0.04458099926476011,0.0019874654954445416,False
LA,0.01437660867303675,0.01437660867303675,0.00020668687693763552,False
MA,0.033081878190017844,-0.033081878190017844,0.0010944106645791782,False
MD,0.014163015991638939,-0.014163015991638939,0.0002005910219794203,False
MO,0.027820922301739714,-0.027820922301739714,0.0007740037177194382,False
MS,0.011573516053550115,0.011573516053550115,0.00013394627384178223,False
MT,0.057535455122833146,-0.057535455122833146,0.003310328596191547,False
ND,0.07871580659581995,-0.07871580659581995,0.006196178208030531,False
NE,0.05049248267379225,-0.05049248267379225,0.0025494908065632105,False
NJ,0.036403454021736836,-0.036403454021736836,0.0013252114647127077,False
NY,0.07282841335217027,-0.07282841335217027,0.005303977791394574,False
OK,0.04636206049454539,-0.04636206049454539,0.0021494406532998863,False
OR,0.0236878239970717,-0.0236878239970717,0.0005611130057162459,False
RI,0.048670768662281594,-0.048670768662281594,0.002368843722177332,False
SC,0.017971851268588246,-0.017971851268588246,0.00032298743802025695,False
SD,0.029580307878431134,-0.029580307878431134,0.000874994614182775,False
TN,0.06433621891550045,-0.06433621891550045,0.004139149064343198,False
TX,0.021749867912901455,-0.021749867912901455,0.0004730567542286603,False
UT,0.051260479042754936,-0.051260479042754936,0.002627636711692718,False
VT,0.022625996272410243,-0.022625996272410243,0.0005119357073191221,False
WA,0.034327062799107355,-0.034327062799107355,0.00117834724041386,False
WV,0.02534790841637602,-0.02534790841637602,0.0006425164610849863,False
WY,0.054946880234859885,-0.054946880234859885,0.0030191596475440357,False
AZ,0.0147818807036596,-0.0147818807036596,0.00021850399713722405,True
CO,0.008940992409669724,-0.008940992409669724,7.994134526977161e-05,True
FL,0.028666708652842376,-0.028666708652842376,0.000821780184986948,True
GA,0.00915196808049723,-0.00915196808049723,8.375851974644016e-05,True
ME,0.013378222845256582,-0.013378222845256582,0.0001789768464973451,True
MI,0.020663949508816226,-0.020663949508816226,0.00042699880930290637,True
MN,0.021222502474741223,-0.021222502474741223,0.00045039461129039733,True
NC,0.017322606034864074,-0.017322606034864074,0.00030007267983910924,True
NH,0.002988628559628892,-0.002988628559628892,8.931900667429465e-06,True
NM,0.0013244669762622063,-0.0013244669762622063,1.7542127712091518e-06,True
NV,0.0005409211252361823,0.0005409211252361823,2.925956637267776e-07,True
OH,0.0324252815365032,-0.0324252815365032,0.0010513988827214956,True
PA,0.02436879788371149,-0.02436879788371149,0.0005938383102971816,True
VA,0.025299064442628083,-0.025299064442628083,0.0006400426616722486,True
WI,0.04476568098427547,-0.04476568098427547,0.002003966193985922,True
