state_po,abs_error,error,squared_error,battleground
AK,0.006664002819071757,-0.006664002819071757,4.4408933572596323e-05,False
AL,0.03597935468040381,-0.03597935468040381,0.0012945139632182954,False
AR,0.04417152949808345,-0.04417152949808345,0.0019511240182000563,False
CA,0.017620087440254006,0.017620087440254006,0.000310467481402197,False
CT,0.01999129752185047,-0.01999129752185047,0.00039965197660714476,False
DC,0.012805422729676552,0.012805422729676552,0.00016397885128571687,False
DE,0.018530949839343336,-0.018530949839343336,0.0003433961019482588,False
HI,0.01609557898384295,-0.01609557898384295,0.0002590676628251269,False
IA,0.03918285520827175,-0.03918285520827175,0.0015352961422723885,False
ID,0.06018477899298663,-0.06018477899298663,0.0036222076224346447,False
IL,0.005540238360073779,-0.005540238360073779,3.0694241086433e-05,False
IN,0.028980170640585057,-0.028980170640585057,0.000839850290357428,False
KS,0.03012079835026643,-0.03012079835026643,0.0009072624932574129,False
KY,0.03987139951518448,-0.03987139951518448,0.0015897284992994532,False
LA,0.023296843916643273,0.023296843916643273,0.0005427429364764386,False
MA,0.030994867360225054,-0.030994867360225054,0.0009606818026779444,False
MD,0.014069171952327486,-0.014069171952327486,0.0001979415994241584,False
MO,0.025219202465647683,-0.025219202465647683,0.0006360081730033302,False
MS,0.015858351134747373,0.015858351134747373,0.00025148730071294326,False
MT,0.05522363818417558,-0.05522363818417558,0.0030496502142967354,False
ND,0.08053514771386167,-0.08053514771386167,0.006485910017293518,False
NE,0.0460308074947115,-0.0460308074947115,0.0021188352386151883,False
NJ,0.03550574831511022,-0.03550574831511022,0.0012606581634159522,False
NY,0.07122321311173552,-0.07122321311173552,0.005072746085959694,False
OK,0.03605780547734044,-0.03605780547734044,0.0013001653358417225,False
OR,0.020897014003441905,-0.020897014003441905,0.0004366851942600471,False
RI,0.03814302540665215,-0.03814302540665215,0.0014548903871725116,False
SC,0.019196682449837132,-0.019196682449837132,0.00036851261707988495,False
SD,0.017635014294954066,-0.017635014294954066,0.0003109937291832342,False
TN,0.06773000594386203,-0.06773000594386203,0.004587353705155586,False
TX,0.02078640337921972,-0.02078640337921972,0.000432074565443637,False
UT,0.04879006034531508,-0.04879006034531508,0.0023804699884994868,False
VT,0.028933976538618067,-0.028933976538618067,0.0008371749983373007,False
WA,0.03672745494806995,-0.03672745494806995,0.0013489059469625078,False
WV,0.024195027070572972,-0.024195027070572972,0.000585399334945759,False
WY,0.06002405686526835,-0.06002405686526835,0.0036028874025649683,False
AZ,0.005125166140289572,-0.005125166140289572,2.626732796557071e-05,True
CO,0.002756543915241716,-0.002756543915241716,7.5985343566561285e-06,True
FL,0.02852963629271399,-0.02852963629271399,0.0008139401469945432,True
GA,0.000834221832732851,-0.000834221832732851,6.959260662081568e-07,True
ME,0.013586050598831223,-0.013586050598831223,0.00018458077087400224,True
MI,0.01523217169290847,-0.01523217169290847,0.00023201905448224207,True
MN,0.018227799563308333,-0.018227799563308333,0.0003322526769201435,True
NC,0.008570284514318682,-0.008570284514318682,7.344977665637061e-05,True
NH,0.004030116696041919,0.004030116696041919,1.6241840583715832e-05,True
NM,0.0055169056991697385,-0.0055169056991697385,3.0436248493531543e-05,True
NV,0.002743873212598835,0.002743873212598835,7.528840206817453e-06,True
OH,0.035626055078581575,-0.035626055078581575,0.001269215800462128,True
PA,0.023353700546368872,-0.023353700546368872,0.0005453953292094697,True
VA,0.02823117597665248,-0.02823117597665248,0.00079699929702472,True
WI,0.037027483103029946,-0.037027483103029946,0.001371034504945168,True
