state_po,samples,battleground
AK,1.1163334424377833,False
AL,0.43877909855321034,False
AR,0.4842649379040742,False
CA,0.42367857011885013,False
CT,0.6891336331895495,False
DC,0.91952878677707,False
DE,0.8995145575488736,False
HI,0.6089739515059741,False
IA,0.513917106258956,False
ID,0.7047809462454514,False
IL,0.5412646304456398,False
IN,0.4780117818508281,False
KS,0.7064806608556441,False
KY,0.49113741746773876,False
LA,0.4842698629651762,False
MA,0.5215946358808393,False
MD,0.611348865279528,False
MO,0.48229835503918395,False
MS,0.42673266694644657,False
MT,0.8943343029012637,False
ND,0.5905578111317277,False
NE,0.6728595547890504,False
NJ,0.41576820619575017,False
NY,0.43298191009861897,False
OK,0.5026262641349679,False
OR,0.8280506821549092,False
RI,0.5710579507260796,False
SC,0.5039476925077873,False
SD,0.798023558686743,False
TN,0.5138432554215195,False
TX,0.24942989524752018,False
UT,0.5607130977727824,False
VT,1.1497264641951486,False
WA,0.8171689144094141,False
WV,0.5120371450184239,False
WY,0.8361218460158043,False
AZ,0.3401664620064313,True
CO,0.5793751875411549,True
FL,0.23513317866908287,True
GA,0.28342438265290787,True
ME,0.7207250261979975,True
MI,0.2434973012302797,True
MN,0.4540300679193252,True
NC,0.24660110791717132,True
NH,0.8572811027156106,True
NM,0.8501694701856947,True
NV,0.6566586598571991,True
OH,0.3349793906234619,True
PA,0.23180815435608257,True
VA,0.5028439961013057,True
WI,0.22912492908085094,True
