state_po,abs_error,error,squared_error,battleground
AK,0.03573897454830183,-0.03573897454830183,0.0012772743017641659,False
AL,0.08701610460943637,-0.08701610460943637,0.007571802461400374,False
AR,0.10268571719582209,-0.10268571719582209,0.010544356516020353,False
CA,0.0777197901651353,0.0777197901651353,0.006040365783312663,False
CT,0.05517325308805077,0.05517325308805077,0.0030440878563181032,False
DC,0.34319867236752977,0.34319867236752977,0.11778532871483503,False
DE,0.04530995484705003,0.04530995484705003,0.002052992008241712,False
HI,0.10775729532625278,0.10775729532625278,0.01161163469602926,False
IA,0.03384730632959837,-0.03384730632959837,0.0011456401457696698,False
ID,0.12515692877233986,-0.12515692877233986,0.015664256819724554,False
IL,0.05613462842075234,0.05613462842075234,0.0031510965079359367,False
IN,0.05903306874485664,-0.05903306874485664,0.0034849032054349704,False
KS,0.06457338341510283,-0.06457338341510283,0.004169721845673877,False
KY,0.0776614530866237,-0.0776614530866237,0.006031301295525854,False
LA,0.07029017002461735,-0.07029017002461735,0.004940708002089615,False
MA,0.07569423081949411,0.07569423081949411,0.005729616579354852,False
MD,0.1065528221563169,0.1065528221563169,0.011353503909475697,False
MO,0.0644510865329857,-0.0644510865329857,0.004153942555282411,False
MS,0.05364482157740569,-0.05364482157740569,0.0028777668820716908,False
MT,0.06010776719042532,-0.06010776719042532,0.0036129436766183707,False
ND,0.12862801153390097,-0.12862801153390097,0.01654516535116536,False
NE,0.09037908137558637,-0.09037908137558637,0.008168378350294863,False
NJ,0.028347827428323202,0.028347827428323202,0.0008035993199059933,False
NY,0.01413755625850055,0.01413755625850055,0.00019987049696226807,False
OK,0.1222020897285861,-0.1222020897285861,0.014933350734033407,False
OR,0.050866340913581665,0.050866340913581665,0.002587384637936712,False
RI,0.08009719095422274,0.08009719095422274,0.006415559998757221,False
SC,0.04568021836644853,-0.04568021836644853,0.0020866823500064217,False
SD,0.10139546630486762,-0.10139546630486762,0.010281040587181545,False
TN,0.0869182984105572,-0.0869182984105572,0.007554790598586671,False
TX,0.027108333137116025,-0.027108333137116025,0.0007348617254728627,False
UT,0.07891848612434244,-0.07891848612434244,0.00622812745215803,False
VT,0.12238456311724277,0.12238456311724277,0.01497798128939838,False
WA,0.04786436163059016,0.04786436163059016,0.0022909971143039113,False
WV,0.1481283809278096,-0.1481283809278096,0.02194201723629427,False
WY,0.1600487318190726,-0.1600487318190726,0.025615596556893418,False
AZ,0.010585457172745838,-0.010585457172745838,0.00011205190355603631,True
CO,0.02972720976791199,0.02972720976791199,0.0008837070005854419,True
FL,0.03213428430324616,-0.03213428430324616,0.0010326122276818528,True
GA,0.0025357683053263136,-0.0025357683053263136,6.430120898297485e-06,True
ME,0.003973026696219684,-0.003973026696219684,1.5784941128874295e-05,True
MI,0.019538441201680246,-0.019538441201680246,0.0003817506845915162,True
MN,0.0007466639442106349,-0.0007466639442106349,5.575070455841821e-07,True
NC,0.013579665988098955,-0.013579665988098955,0.00018440732834833155,True
NH,0.00419918031318578,0.00419918031318578,1.7633115302647024e-05,True
NM,0.04140134167780396,0.04140134167780396,0.0017140710927222673,True
NV,0.010228207508471643,0.010228207508471643,0.0001046162288363557,True
OH,0.03475232122617272,-0.03475232122617272,0.0012077238306070952,True
PA,0.02143166236050198,-0.02143166236050198,0.0004593161515345573,True
VA,0.017753140451682414,0.017753140451682414,0.00031517399589716245,True
WI,0.03499215117349219,-0.03499215117349219,0.001224450643748531,True
