state_po,abs_error,error,squared_error,battleground
AK,0.04537154535527416,-0.04537154535527416,0.0020585771279257,False
AL,0.09632642001218827,-0.09632642001218827,0.009278779192364505,False
AR,0.12185880243580982,-0.12185880243580982,0.01484956773108973,False
CA,0.09083187961749029,0.09083187961749029,0.008250430354846247,False
CT,0.05014112418316752,0.05014112418316752,0.0025141323343518267,False
DC,0.36886037302325647,0.36886037302325647,0.1360579747868559,False
DE,0.06429475726783107,0.06429475726783107,0.004133815812129316,False
HI,0.11534281925146272,0.11534281925146272,0.0133039659528756,False
IA,0.03770841176035511,-0.03770841176035511,0.0014219243174884875,False
ID,0.14249087360405027,-0.14249087360405027,0.02030364906044543,False
IL,0.06463765799128152,0.06463765799128152,0.004178026830597879,False
IN,0.061952741385386034,-0.061952741385386034,0.0038381421651645237,False
KS,0.06601563704624536,-0.06601563704624536,0.004358064334621602,False
KY,0.07820522794877505,-0.07820522794877505,0.0061160576785198656,False
LA,0.07634568772528494,-0.07634568772528494,0.005828664034246723,False
MA,0.0879421529521881,0.0879421529521881,0.007733822265866047,False
MD,0.12866218228021908,0.12866218228021908,0.01655395714910832,False
MO,0.0681529689144506,-0.0681529689144506,0.004644827171854071,False
MS,0.05914342457878663,-0.05914342457878663,0.0034979446709066226,False
MT,0.05527557230280672,-0.05527557230280672,0.003055388893402813,False
ND,0.1366918502599272,-0.1366918502599272,0.018684661927482357,False
NE,0.09186934682550368,-0.09186934682550368,0.008439976886144684,False
NJ,0.023468500344421273,0.023468500344421273,0.0005507705084161013,False
NY,0.013575175182481414,0.013575175182481414,0.0001842853812350593,False
OK,0.1404012617478102,-0.1404012617478102,0.019712514300377112,False
OR,0.062488785006816094,0.062488785006816094,0.003904848251628084,False
RI,0.08552311688053293,0.08552311688053293,0.0073142035209612976,False
SC,0.04664277190625166,-0.04664277190625166,0.0021755481710986186,False
SD,0.11164889690339397,-0.11164889690339397,0.012465476179744694,False
TN,0.08697618516181804,-0.08697618516181804,0.0075648567853028575,False
TX,0.02691884597152261,-0.02691884597152261,0.000724624268438559,False
UT,0.08055529491588648,-0.08055529491588648,0.006489155538985446,False
VT,0.12944095840606062,0.12944095840606062,0.016754961713079518,False
WA,0.05616855727819281,0.05616855727819281,0.0031549068267136267,False
WV,0.15628556097999408,-0.15628556097999408,0.024425176570831448,False
WY,0.17142286819047242,-0.17142286819047242,0.02938579973864808,False
AZ,0.01432087657330261,-0.01432087657330261,0.0002050875058277675,True
CO,0.027469760763608075,0.027469760763608075,0.0007545877564098618,True
FL,0.04204763796951616,-0.04204763796951616,0.0017680038588154972,True
GA,0.001288585746429649,-0.001288585746429649,1.6604532259016558e-06,True
ME,0.023423298618290844,0.023423298618290844,0.0005486509181616257,True
MI,0.02655409859123259,-0.02655409859123259,0.0007051201519929005,True
MN,0.00035071823265242497,-0.00035071823265242497,1.230032787148405e-07,True
NC,0.016923240158565223,-0.016923240158565223,0.00028639605746447465,True
NH,0.012109596527538957,0.012109596527538957,0.00014664232805978357,True
NM,0.0481433779501268,0.0481433779501268,0.002317784840448755,True
NV,0.010102772681524264,0.010102772681524264,0.00010206601585455296,True
OH,0.04065341442005449,-0.04065341442005449,0.0016527001040086945,True
PA,0.02439657320804256,-0.02439657320804256,0.0005951927842953801,True
VA,0.01989371101029369,0.01989371101029369,0.00039575973776108045,True
WI,0.02644232764277099,-0.02644232764277099,0.0006991966911676509,True
