,year,state_po,state_fips,office,d_prob
0,1976,AL,1,president,0.5572726888447394
1,1976,AK,2,president,0.3565313091750692
2,1976,AZ,4,president,0.39799978188251545
3,1976,AR,5,president,0.6496172812966184
4,1976,CA,6,president,0.47954821836112543
5,1976,CO,8,president,0.4260994599792869
6,1976,CT,9,president,0.46733700964038793
7,1976,DE,10,president,0.5196908870235357
8,1976,DC,11,president,0.8163122667772316
9,1976,FL,12,president,0.5192610623078361
10,1976,GA,13,president,0.6693829485931742
11,1976,HI,15,president,0.5059199934088795
12,1976,ID,16,president,0.37118545633733413
13,1976,IL,17,president,0.48107590268914247
14,1976,IN,18,president,0.45700385792947273
15,1976,IA,19,president,0.48458496540694423
16,1976,KS,20,president,0.44936393675385894
17,1976,KY,21,president,0.5275424926872652
18,1976,LA,22,president,0.5177499622274604
19,1976,ME,23,president,0.480940766261947
20,1976,MD,24,president,0.5303541992343639
21,1976,MA,25,president,0.5611157822510813
22,1976,MI,26,president,0.46465074118397737
23,1976,MN,27,president,0.5489630145887213
24,1976,MS,28,president,0.4962701232447065
25,1976,MO,29,president,0.5110498566748567
26,1976,MT,30,president,0.4540418697183741
27,1976,NE,31,president,0.38449671940126806
28,1976,NV,32,president,0.4580980403812241
29,1976,NH,33,president,0.43472692100451377
30,1976,NJ,34,president,0.4792391503387658
31,1976,NM,35,president,0.4828440433039679
32,1976,NY,36,president,0.4865083285569763
33,1976,NC,37,president,0.5526918671248569
34,1976,ND,38,president,0.4577004318753616
35,1976,OH,39,president,0.4889868666639419
36,1976,OK,40,president,0.48747220190231
37,1976,OR,41,president,0.47618062757069785
38,1976,PA,42,president,0.5039567935072532
39,1976,RI,44,president,0.5544200455935935
40,1976,SC,45,president,0.5616951766982355
41,1976,SD,46,president,0.48912125263570994
42,1976,TN,47,president,0.5594074830696869
43,1976,TX,48,president,0.511389568072175
44,1976,UT,49,president,0.3364817873758818
45,1976,VT,50,president,0.42304053245750456
46,1976,VA,51,president,0.47958215632133516
47,1976,WA,53,president,0.46114260440466104
48,1976,WV,54,president,0.5806951864533234
49,1976,WI,55,president,0.4950336357441171
50,1976,WY,56,president,0.39809265525159426
51,1980,AL,1,president,0.47448859067804633
52,1980,AK,2,president,0.2640790179557575
53,1980,AZ,4,president,0.28244683589928427
54,1980,AR,5,president,0.4752263062004675
55,1980,CA,6,president,0.35919436910764124
56,1980,CO,8,president,0.3107003250453797
57,1980,CT,9,president,0.3852220566954778
58,1980,DE,10,president,0.4487414498362103
59,1980,DC,11,president,0.7489317898199426
60,1980,FL,12,president,0.38500219830769633
61,1980,GA,13,president,0.5579610534786652
62,1980,HI,15,president,0.4480211812573569
63,1980,ID,16,president,0.25190715792890767
64,1980,IL,17,president,0.41716408184817594
65,1980,IN,18,president,0.3765319243739945
66,1980,IA,19,president,0.3860416298273987
67,1980,KS,20,president,0.33287575462214036
68,1980,KY,21,president,0.4765391582608266
69,1980,LA,22,president,0.45748231779727505
70,1980,ME,23,president,0.42250354199051265
71,1980,MD,24,president,0.4713812953749961
72,1980,MA,25,president,0.41749779128319514
73,1980,MI,26,president,0.42497413500949555
74,1980,MN,27,president,0.4650156244212726
75,1980,MS,28,president,0.48139164564059433
76,1980,MO,29,president,0.4434571659339068
77,1980,MT,30,president,0.32430650195630195
78,1980,NE,31,president,0.2602273846697512
