state_po,year,unemployment_rate
MN,2020,6.377777777777778
MS,1976,6.508333333333334
MS,1977,7.316666666666667
MS,1978,6.925
MS,1979,5.7666666666666675
MS,1980,7.425
MS,1981,8.533333333333333
MS,1982,11.058333333333335
MS,1983,12.041666666666664
MS,1984,10.533333333333333
MS,1985,10.358333333333336
MS,1986,11.408333333333333
MS,1987,9.966666666666667
MS,1988,8.416666666666666
MS,1989,7.85
MS,1990,7.591666666666668
MS,1991,8.541666666666666
MS,1992,8.041666666666666
MS,1993,6.625000000000001
MS,1994,6.2666666666666675
MS,1995,6.216666666666666
MS,1996,6.025
MS,1997,5.708333333333332
MS,1998,5.266666666666667
MS,1999,5.116666666666666
MS,2000,5.358333333333333
MS,2001,5.533333333333334
MS,2002,6.6000000000000005
MS,2003,6.3
MS,2004,6.158333333333332
MS,2005,7.5
MS,2006,6.558333333333333
MS,2007,6.091666666666666
MS,2008,6.599999999999999
MS,2009,9.475
MS,2010,10.358333333333333
MS,2011,9.983333333333333
MS,2012,9.000000000000002
MS,2013,8.533333333333333
MS,2014,7.491666666666666
MS,2015,6.366666666666667
MS,2016,5.808333333333333
MS,2017,5.1
MS,2018,4.858333333333333
MS,2019,5.425000000000002
MS,2020,8.433333333333332
MO,1976,6.2333333333333325
MO,1977,6.05
MO,1978,4.883333333333334
MO,1979,4.841666666666667
MO,1980,7.224999999999998
MO,1981,7.6416666666666675
MO,1982,9.216666666666667
MO,1983,9.891666666666667
MO,1984,7.166666666666668
MO,1985,6.525
MO,1986,6.258333333333333
MO,1987,6.224999999999999
MO,1988,5.7250000000000005
MO,1989,5.541666666666668
MO,1990,5.8500000000000005
MO,1991,6.583333333333332
MO,1992,6.191666666666667
MO,1993,6.2250000000000005
MO,1994,5.058333333333334
MO,1995,4.725
MO,1996,4.758333333333332
MO,1997,4.3583333333333325
MO,1998,4.116666666666666
MO,1999,3.3083333333333336
MO,2000,3.583333333333333
MO,2001,4.591666666666668
MO,2002,5.374999999999999
MO,2003,5.625
MO,2004,5.858333333333333
MO,2005,5.375
MO,2006,4.866666666666666
MO,2007,5.083333333333333
MO,2008,6.175000000000002
MO,2009,9.258333333333336
MO,2010,9.575
MO,2011,8.491666666666665
MO,2012,6.9750000000000005
MO,2013,6.7333333333333325
MO,2014,6.133333333333333
MO,2015,4.999999999999999
MO,2016,4.575
MO,2017,3.733333333333334
MO,2018,3.1666666666666665
MO,2019,3.2416666666666667
MO,2020,6.4222222222222225
MT,1976,5.941666666666666
MT,1977,6.3
MT,1978,5.7333333333333325
MT,1979,5.175000000000002
MT,1980,6.116666666666667
MT,1981,6.833333333333332
MT,1982,8.516666666666667
MT,1983,8.616666666666665
MT,1984,7.608333333333333
MT,1985,7.6416666666666675
MT,1986,7.925000000000002
MT,1987,7.45
MT,1988,6.658333333333332
MT,1989,5.783333333333334
MT,1990,5.9750000000000005
MT,1991,6.883333333333334
MT,1992,6.749999999999999
MT,1993,6.033333333333332
MT,1994,5.233333333333333
MT,1995,5.650000000000001
MT,1996,5.325
MT,1997,5.349999999999999
MT,1998,5.525
MT,1999,5.250000000000001
MT,2000,4.95
MT,2001,4.541666666666667
MT,2002,4.4
MT,2003,4.708333333333332
MT,2004,4.766666666666668
MT,2005,4.325
MT,2006,3.5083333333333333
MT,2007,3.5750000000000006
MT,2008,5.108333333333333
MT,2009,6.841666666666666
MT,2010,7.3
MT,2011,6.941666666666666
MT,2012,5.9833333333333325
MT,2013,5.408333333333332
MT,2014,4.658333333333333
MT,2015,4.208333333333334
MT,2016,4.125
MT,2017,3.9583333333333326
MT,2018,3.641666666666667
MT,2019,3.5
MT,2020,6.255555555555556
NE,1976,3.191666666666667
NE,1977,3.458333333333333
NE,1978,3.1166666666666667
NE,1979,3.0500000000000003
NE,1980,3.933333333333333
NE,1981,4.258333333333334
NE,1982,5.666666666666668
NE,1983,5.550000000000002
NE,1984,4.508333333333333
NE,1985,5.158333333333332
NE,1986,5.008333333333332
NE,1987,4.408333333333333
NE,1988,3.566666666666667
NE,1989,2.9166666666666665
NE,1990,2.35
NE,1991,2.65
NE,1992,2.8666666666666663
NE,1993,2.7583333333333333
NE,1994,2.633333333333334
NE,1995,2.641666666666666
NE,1996,2.7416666666666667
NE,1997,2.4916666666666663
NE,1998,2.55
NE,1999,2.7750000000000004
NE,2000,2.833333333333333
NE,2001,3.1333333333333333
NE,2002,3.6500000000000012
NE,2003,3.9416666666666655
NE,2004,3.858333333333333
NE,2005,3.8000000000000007
NE,2006,3.1333333333333337
NE,2007,3.0000000000000004
NE,2008,3.3416666666666663
NE,2009,4.641666666666667
NE,2010,4.625
NE,2011,4.391666666666667
NE,2012,4.016666666666667
NE,2013,3.766666666666667
NE,2014,3.266666666666667
NE,2015,3.0083333333333337
NE,2016,3.066666666666667
NE,2017,2.916666666666666
NE,2018,2.916666666666666
NE,2019,3.0583333333333336
NE,2020,4.633333333333334
NV,1976,8.766666666666667
NV,1977,6.724999999999999
NV,1978,4.466666666666667
NV,1979,4.941666666666666
NV,1980,6.183333333333335
NV,1981,7.175000000000002
NV,1982,9.883333333333333
NV,1983,9.566666666666666
NV,1984,7.883333333333333
NV,1985,7.699999999999998
NV,1986,6.208333333333332
NV,1987,6.058333333333335
NV,1988,5.233333333333333
NV,1989,4.7250000000000005
NV,1990,4.7250000000000005
NV,1991,5.841666666666666
NV,1992,6.650000000000001
NV,1993,6.849999999999999
NV,1994,6.175000000000002
NV,1995,5.558333333333333
NV,1996,5.041666666666667
NV,1997,4.391666666666667
NV,1998,4.208333333333333
NV,1999,4.0
NV,2000,4.166666666666667
NV,2001,5.2
NV,2002,5.616666666666666
NV,2003,5.075
NV,2004,4.300000000000002
NV,2005,4.091666666666667
NV,2006,4.050000000000002
NV,2007,4.491666666666666
NV,2008,6.708333333333332
NV,2009,11.3
NV,2010,13.499999999999998
NV,2011,13.016666666666667
NV,2012,11.191666666666665
NV,2013,9.625
NV,2014,7.916666666666668
NV,2015,6.758333333333334
NV,2016,5.708333333333332
NV,2017,5.008333333333333
NV,2018,4.449999999999998
NV,2019,3.9
NV,2020,13.866666666666667
NH,1976,6.508333333333333
NH,1977,5.433333333333334
NH,1978,3.8166666666666655
NH,1979,3.2
NH,1980,4.55
NH,1981,5.166666666666667
NH,1982,6.775
NH,1983,5.5
NH,1984,4.299999999999999
NH,1985,3.733333333333333
NH,1986,2.7583333333333333
NH,1987,2.325
NH,1988,2.4250000000000003
NH,1989,3.458333333333333
NH,1990,5.666666666666668
NH,1991,7.291666666666668
NH,1992,7.291666666666665
NH,1993,6.116666666666666
NH,1994,4.7250000000000005
NH,1995,3.975
NH,1996,3.8083333333333336
NH,1997,3.325
NH,1998,2.833333333333333
NH,1999,2.708333333333333
NH,2000,2.6750000000000003
NH,2001,3.441666666666667
NH,2002,4.466666666666667
NH,2003,4.333333333333333
NH,2004,3.775
NH,2005,3.5750000000000006
NH,2006,3.441666666666667
NH,2007,3.525
NH,2008,3.8666666666666663
NH,2009,6.2250000000000005
NH,2010,5.833333333333335
NH,2011,5.408333333333334
NH,2012,5.483333333333333
NH,2013,5.083333333333333
NH,2014,4.283333333333333
NH,2015,3.375
NH,2016,2.8666666666666667
NH,2017,2.725
NH,2018,2.575
NH,2019,2.5500000000000007
NH,2020,7.7666666666666675
NJ,1976,10.425
NJ,1977,9.358333333333333
NJ,1978,7.266666666666667
NJ,1979,6.925
NJ,1980,7.216666666666666
NJ,1981,7.466666666666668
NJ,1982,8.708333333333334
NJ,1983,8.033333333333331
NJ,1984,6.166666666666668
NJ,1985,5.6000000000000005
NJ,1986,5.016666666666667
NJ,1987,4.108333333333333
NJ,1988,3.808333333333333
NJ,1989,4.083333333333333
NJ,1990,5.05
NJ,1991,6.716666666666668
NJ,1992,8.366666666666667
NJ,1993,7.625
NJ,1994,6.816666666666666
NJ,1995,6.408333333333334
NJ,1996,6.1416666666666675
NJ,1997,5.275
NJ,1998,4.574999999999998
NJ,1999,4.508333333333334
NJ,2000,3.7
NJ,2001,4.275
NJ,2002,5.783333333333332
NJ,2003,5.833333333333332
NJ,2004,4.841666666666666
NJ,2005,4.45
NJ,2006,4.7333333333333325
NJ,2007,4.275
NJ,2008,5.358333333333333
NJ,2009,9.033333333333333
NJ,2010,9.533333333333333
NJ,2011,9.341666666666667
NJ,2012,9.333333333333334
NJ,2013,8.241666666666665
NJ,2014,6.741666666666667
NJ,2015,5.7666666666666675
NJ,2016,4.983333333333333
NJ,2017,4.625000000000001
NJ,2018,4.091666666666666
NJ,2019,3.5250000000000012
NJ,2020,10.2
NM,1976,8.891666666666667
NM,1977,7.6083333333333325
NM,1978,5.941666666666666
NM,1979,6.375
NM,1980,7.575
NM,1981,7.3
NM,1982,9.241666666666667
NM,1983,9.65
NM,1984,7.825
NM,1985,8.333333333333334
NM,1986,9.308333333333332
NM,1987,8.708333333333336
NM,1988,7.4833333333333325
NM,1989,6.708333333333332
NM,1990,6.566666666666666
NM,1991,7.158333333333334
NM,1992,7.158333333333334
NM,1993,6.966666666666668
NM,1994,6.466666666666668
NM,1995,6.583333333333332
NM,1996,7.216666666666665
NM,1997,6.325
NM,1998,6.066666666666667
NM,1999,5.558333333333334
NM,2000,4.924999999999999
NM,2001,4.925
NM,2002,5.541666666666668
NM,2003,5.841666666666668
NM,2004,5.516666666666667
NM,2005,5.083333333333334
NM,2006,4.175
NM,2007,3.758333333333333
NM,2008,4.483333333333333
NM,2009,7.508333333333333
NM,2010,8.1
NM,2011,7.516666666666665
NM,2012,7.116666666666666
NM,2013,6.941666666666666
NM,2014,6.6750000000000025
NM,2015,6.5
NM,2016,6.591666666666669
NM,2017,5.8500000000000005
NM,2018,4.908333333333332
NM,2019,4.883333333333332
NM,2020,8.755555555555556
NY,1976,10.208333333333334
NY,1977,9.125
NY,1978,7.758333333333333
NY,1979,7.175000000000002
NY,1980,7.4833333333333325
NY,1981,7.583333333333332
NY,1982,8.458333333333334
NY,1983,8.683333333333334
NY,1984,7.175
NY,1985,6.608333333333333
NY,1986,6.224999999999999
NY,1987,4.875000000000001
NY,1988,4.283333333333334
NY,1989,4.9750000000000005
NY,1990,5.366666666666667
NY,1991,7.249999999999999
NY,1992,8.6
NY,1993,7.908333333333332
NY,1994,6.941666666666666
NY,1995,6.316666666666666
NY,1996,6.258333333333334
NY,1997,6.441666666666666
NY,1998,5.6083333333333325
NY,1999,5.175
NY,2000,4.525
NY,2001,4.833333333333333
NY,2002,6.1416666666666675
NY,2003,6.3916666666666675
NY,2004,5.808333333333334
NY,2005,5.0
NY,2006,4.558333333333334
NY,2007,4.55
NY,2008,5.458333333333332
NY,2009,8.316666666666666
NY,2010,8.591666666666669
NY,2011,8.299999999999999
NY,2012,8.516666666666667
NY,2013,7.708333333333332
NY,2014,6.333333333333335
NY,2015,5.258333333333333
NY,2016,4.866666666666666
NY,2017,4.7
NY,2018,4.141666666666667
NY,2019,3.9416666666666664
NY,2020,10.566666666666668
NC,1976,6.216666666666668
NC,1977,5.916666666666668
NC,1978,4.474999999999999
NC,1979,4.766666666666667
NC,1980,6.416666666666668
NC,1981,6.475000000000001
NC,1982,9.208333333333334
NC,1983,8.958333333333334
NC,1984,6.749999999999999
NC,1985,5.558333333333334
NC,1986,5.283333333333332
NC,1987,4.541666666666666
NC,1988,3.65
NC,1989,3.5416666666666665
NC,1990,4.108333333333333
NC,1991,5.808333333333333
NC,1992,6.041666666666668
NC,1993,5.025
NC,1994,4.366666666666666
NC,1995,4.308333333333334
NC,1996,4.291666666666667
NC,1997,3.7583333333333337
NC,1998,3.45
NC,1999,3.1916666666666664
NC,2000,3.6833333333333336
NC,2001,5.491666666666667
NC,2002,6.625
NC,2003,6.383333333333333
NC,2004,5.4750000000000005
NC,2005,5.241666666666667
NC,2006,4.758333333333333
NC,2007,4.716666666666667
NC,2008,6.133333333333333
NC,2009,10.575
NC,2010,10.816666666666668
NC,2011,10.266666666666667
NC,2012,9.291666666666666
NC,2013,7.958333333333332
NC,2014,6.316666666666666
NC,2015,5.691666666666666
NC,2016,5.083333333333334
NC,2017,4.466666666666666
NC,2018,3.983333333333333
NC,2019,3.883333333333333
NC,2020,7.4444444444444455
ND,1976,3.691666666666667
ND,1977,4.533333333333334
ND,1978,4.233333333333333
ND,1979,4.016666666666667
ND,1980,4.941666666666666
ND,1981,4.825
ND,1982,5.558333333333334
ND,1983,5.65
ND,1984,5.283333333333332
ND,1985,5.675000000000002
ND,1986,5.841666666666668
ND,1987,4.991666666666666
ND,1988,4.683333333333335
ND,1989,4.291666666666667
ND,1990,4.025
ND,1991,4.374999999999999
ND,1992,4.75
ND,1993,4.291666666666668
ND,1994,3.7083333333333335
ND,1995,3.233333333333333
ND,1996,2.9
ND,1997,2.733333333333333
ND,1998,2.891666666666666
ND,1999,3.2916666666666674
ND,2000,2.958333333333333
ND,2001,2.933333333333333
ND,2002,3.7416666666666663
ND,2003,3.716666666666667
ND,2004,3.4083333333333328
ND,2005,3.3749999999999987
ND,2006,3.208333333333334
ND,2007,3.1
ND,2008,3.1916666666666664
ND,2009,4.1000000000000005
ND,2010,3.7833333333333337
ND,2011,3.4666666666666663
ND,2012,3.066666666666667
ND,2013,2.916666666666666
ND,2014,2.6666666666666665
ND,2015,2.8000000000000003
ND,2016,3.091666666666667
ND,2017,2.6666666666666665
ND,2018,2.575
ND,2019,2.366666666666666
ND,2020,5.344444444444445
OH,1976,7.766666666666667
OH,1977,6.5166666666666675
OH,1978,5.466666666666666
OH,1979,5.833333333333332
OH,1980,8.4
OH,1981,9.408333333333333
OH,1982,12.691666666666668
OH,1983,12.375
OH,1984,9.466666666666667
OH,1985,8.883333333333333
OH,1986,8.308333333333332
OH,1987,7.116666666666667
OH,1988,6.008333333333333
OH,1989,5.558333333333334
OH,1990,5.666666666666668
OH,1991,6.5
OH,1992,7.358333333333333
OH,1993,6.616666666666667
OH,1994,5.566666666666666
OH,1995,4.791666666666667
OH,1996,4.991666666666666
OH,1997,4.641666666666667
OH,1998,4.308333333333334
OH,1999,4.283333333333333
OH,2000,4.0
OH,2001,4.3
OH,2002,5.750000000000001
OH,2003,6.25
OH,2004,6.258333333333333
OH,2005,5.908333333333331
OH,2006,5.425000000000002
OH,2007,5.541666666666668
OH,2008,6.4750000000000005
OH,2009,10.291666666666666
OH,2010,10.241666666666667
OH,2011,8.85
OH,2012,7.408333333333332
OH,2013,7.425
OH,2014,5.800000000000002
OH,2015,4.908333333333333
OH,2016,5.058333333333335
OH,2017,4.958333333333333
OH,2018,4.466666666666666
OH,2019,4.141666666666667
OH,2020,9.2
OK,1976,5.683333333333334
OK,1977,4.95
OK,1978,3.5749999999999997
OK,1979,3.3666666666666663
OK,1980,4.4
OK,1981,3.633333333333333
OK,1982,6.008333333333333
OK,1983,8.366666666666667
OK,1984,7.091666666666666
OK,1985,7.175
OK,1986,8.241666666666667
OK,1987,7.2666666666666675
OK,1988,6.408333333333332
OK,1989,5.666666666666668
OK,1990,5.683333333333334
OK,1991,6.308333333333333
OK,1992,6.0
OK,1993,5.95
OK,1994,5.550000000000002
OK,1995,4.591666666666667
OK,1996,4.066666666666666
OK,1997,4.066666666666666
OK,1998,4.241666666666666
OK,1999,3.516666666666666
OK,2000,3.0416666666666665
OK,2001,3.65
OK,2002,4.666666666666667
OK,2003,5.441666666666666
OK,2004,4.858333333333335
OK,2005,4.458333333333333
OK,2006,4.025
