state_po,year,bachelors_education_rate
MD,2006,0.35100000000000003
MD,2007,0.35200000000000004
MD,2008,0.35200000000000004
MD,2009,0.35700000000000004
MD,2010,0.361
MD,2011,0.369
MD,2012,0.369
MD,2013,0.374
MD,2014,0.382
MD,2015,0.388
MD,2016,0.393
MD,2017,0.397
MD,2018,0.408
MD,2019,0.409
MA,2006,0.37
MA,2007,0.379
MA,2008,0.381
MA,2009,0.382
MA,2010,0.39
MA,2011,0.391
MA,2012,0.393
MA,2013,0.403
MA,2014,0.412
MA,2015,0.415
MA,2016,0.4270000000000001
MA,2017,0.434
MA,2018,0.445
MA,2019,0.45
MI,2006,0.245
MI,2007,0.247
MI,2008,0.247
MI,2009,0.246
MI,2010,0.252
MI,2011,0.256
MI,2012,0.26
MI,2013,0.269
MI,2014,0.274
MI,2015,0.278
MI,2016,0.28300000000000003
MI,2017,0.29100000000000004
MI,2018,0.29600000000000004
MI,2019,0.3
MN,2006,0.304
MN,2007,0.31
MN,2008,0.315
MN,2009,0.315
MN,2010,0.318
MN,2011,0.324
MN,2012,0.332
MN,2013,0.335
MN,2014,0.343
MN,2015,0.34700000000000003
MN,2016,0.348
MN,2017,0.361
MN,2018,0.3670000000000001
MN,2019,0.373
MS,2006,0.188
MS,2007,0.189
MS,2008,0.194
MS,2009,0.196
MS,2010,0.195
MS,2011,0.198
MS,2012,0.207
MS,2013,0.204
MS,2014,0.211
MS,2015,0.208
MS,2016,0.218
MS,2017,0.219
MS,2018,0.232
MS,2019,0.223
MO,2006,0.243
MO,2007,0.245
MO,2008,0.25
MO,2009,0.252
MO,2010,0.256
MO,2011,0.261
MO,2012,0.264
MO,2013,0.27
MO,2014,0.275
MO,2015,0.278
MO,2016,0.285
MO,2017,0.29100000000000004
MO,2018,0.295
MO,2019,0.302
MT,2006,0.274
MT,2007,0.27
MT,2008,0.271
MT,2009,0.274
MT,2010,0.28800000000000003
MT,2011,0.282
MT,2012,0.294
MT,2013,0.29
MT,2014,0.293
MT,2015,0.306
MT,2016,0.31
MT,2017,0.32299999999999995
MT,2018,0.317
MT,2019,0.336
NE,2006,0.269
NE,2007,0.275
NE,2008,0.271
NE,2009,0.274
NE,2010,0.28600000000000003
NE,2011,0.279
NE,2012,0.29
NE,2013,0.294
NE,2014,0.295
NE,2015,0.302
NE,2016,0.314
NE,2017,0.317
NE,2018,0.324
NE,2019,0.332
NV,2006,0.208
NV,2007,0.218
NV,2008,0.219
NV,2009,0.218
NV,2010,0.217
NV,2011,0.225
NV,2012,0.224
NV,2013,0.225
NV,2014,0.231
NV,2015,0.236
NV,2016,0.235
NV,2017,0.249
NV,2018,0.249
NV,2019,0.257
NH,2006,0.319
NH,2007,0.325
NH,2008,0.333
NH,2009,0.32
NH,2010,0.328
NH,2011,0.334
NH,2012,0.34600000000000003
NH,2013,0.34600000000000003
NH,2014,0.35
NH,2015,0.35700000000000004
NH,2016,0.366
NH,2017,0.369
NH,2018,0.368
NH,2019,0.376
NJ,2006,0.334
NJ,2007,0.339
NJ,2008,0.344
NJ,2009,0.345
NJ,2010,0.354
NJ,2011,0.353
NJ,2012,0.362
NJ,2013,0.366
NJ,2014,0.374
NJ,2015,0.376
NJ,2016,0.386
NJ,2017,0.397
NJ,2018,0.408
NJ,2019,0.412
NM,2006,0.253
NM,2007,0.248
NM,2008,0.247
NM,2009,0.253
NM,2010,0.25
NM,2011,0.256
NM,2012,0.261
NM,2013,0.264
NM,2014,0.264
NM,2015,0.265
NM,2016,0.272
NM,2017,0.271
NM,2018,0.277
NM,2019,0.277
NY,2006,0.312
NY,2007,0.317
NY,2008,0.319
NY,2009,0.324
NY,2010,0.325
NY,2011,0.329
NY,2012,0.334
NY,2013,0.341
NY,2014,0.345
NY,2015,0.35
NY,2016,0.35700000000000004
NY,2017,0.36
NY,2018,0.3720000000000001
NY,2019,0.378
NC,2006,0.248
NC,2007,0.256
NC,2008,0.261
NC,2009,0.265
NC,2010,0.265
NC,2011,0.269
NC,2012,0.274
NC,2013,0.284
NC,2014,0.287
NC,2015,0.294
NC,2016,0.304
NC,2017,0.313
NC,2018,0.319
NC,2019,0.32299999999999995
ND,2006,0.256
ND,2007,0.257
ND,2008,0.269
ND,2009,0.258
ND,2010,0.276
ND,2011,0.263
ND,2012,0.279
ND,2013,0.271
ND,2014,0.274
ND,2015,0.29100000000000004
ND,2016,0.29600000000000004
ND,2017,0.307
ND,2018,0.297
ND,2019,0.304
OH,2006,0.23
OH,2007,0.241
OH,2008,0.241
OH,2009,0.241
OH,2010,0.246
OH,2011,0.247
OH,2012,0.252
OH,2013,0.261
OH,2014,0.266
OH,2015,0.268
OH,2016,0.275
OH,2017,0.28
OH,2018,0.29
OH,2019,0.293
OK,2006,0.221
OK,2007,0.228
OK,2008,0.222
OK,2009,0.227
OK,2010,0.229
OK,2011,0.238
OK,2012,0.238
OK,2013,0.238
OK,2014,0.242
OK,2015,0.246
OK,2016,0.252
OK,2017,0.255
OK,2018,0.256
OK,2019,0.262
OR,2006,0.275
OR,2007,0.28300000000000003
OR,2008,0.281
OR,2009,0.292
OR,2010,0.28800000000000003
OR,2011,0.293
OR,2012,0.299
OR,2013,0.307
OR,2014,0.308
OR,2015,0.322
OR,2016,0.327
OR,2017,0.337
OR,2018,0.34
OR,2019,0.345
PA,2006,0.254
PA,2007,0.258
PA,2008,0.263
PA,2009,0.264
PA,2010,0.271
PA,2011,0.27
PA,2012,0.278
PA,2013,0.287
PA,2014,0.29
PA,2015,0.297
PA,2016,0.308
PA,2017,0.314
PA,2018,0.318
PA,2019,0.32299999999999995
RI,2006,0.29600000000000004
RI,2007,0.298
RI,2008,0.3
RI,2009,0.305
RI,2010,0.302
RI,2011,0.311
RI,2012,0.314
RI,2013,0.324
RI,2014,0.304
RI,2015,0.327
RI,2016,0.341
RI,2017,0.335
RI,2018,0.344
RI,2019,0.348
SC,2006,0.227
SC,2007,0.235
SC,2008,0.237
SC,2009,0.243
SC,2010,0.245
SC,2011,0.241
SC,2012,0.251
SC,2013,0.261
SC,2014,0.263
SC,2015,0.268
SC,2016,0.272
SC,2017,0.28
SC,2018,0.28300000000000003
SC,2019,0.29600000000000004
SD,2006,0.248
SD,2007,0.25
SD,2008,0.251
SD,2009,0.251
SD,2010,0.263
SD,2011,0.263
SD,2012,0.263
SD,2013,0.266
SD,2014,0.278
SD,2015,0.275
SD,2016,0.289
SD,2017,0.281
SD,2018,0.292
SD,2019,0.297
TN,2006,0.217
TN,2007,0.218
TN,2008,0.229
TN,2009,0.23
TN,2010,0.231
TN,2011,0.236
TN,2012,0.243
TN,2013,0.248
TN,2014,0.253
TN,2015,0.257
TN,2016,0.261
TN,2017,0.273
TN,2018,0.275
TN,2019,0.287
TX,2006,0.247
