year,state_po,state_fips,office,d_prob
1976,AZ,4,senate,0.5401087411125052
1976,CA,6,senate,0.4688871796670301
1976,CT,9,senate,0.41200852485117495
1976,DE,10,senate,0.4361395938521764
1976,FL,12,senate,0.6297450878974669
1976,HI,15,senate,0.5372701031473855
1976,IN,18,senate,0.4018726745996529
1976,ME,23,senate,0.6020325261778758
1976,MD,24,senate,0.5655216107933113
1976,MA,25,senate,0.6930872190923851
1976,MI,26,senate,0.5245887877992627
1976,MN,27,senate,0.6750640683674857
1976,MO,29,senate,0.4249610856325021
1976,MT,30,senate,0.6415778749086157
1976,NE,31,senate,0.5289056311203251
1976,NV,32,senate,0.6300873208881669
1976,NJ,34,senate,0.6066053496620829
1976,NM,35,senate,0.4270171599008367
1976,NY,36,senate,0.485761469954064
1976,ND,38,senate,0.6209664313825239
1976,OH,39,senate,0.4951044645314394
1976,PA,42,senate,0.4678424662581194
1976,RI,44,senate,0.4203120534662301
1976,TN,47,senate,0.5245501890302406
1976,TX,48,senate,0.567843416627304
1976,UT,49,senate,0.4289304128647713
1976,VT,50,senate,0.4532000423146091
1976,WA,53,senate,0.7184032577051608
1976,WI,55,senate,0.7218800495870417
1976,WY,56,senate,0.4541346995520313
1978,AL,1,senate,0.550601363034739
1978,AK,2,senate,0.24094638303419394
1978,AR,5,senate,0.7647977909184782
1978,CO,8,senate,0.4029851474996826
1978,DE,10,senate,0.5795572338220051
1978,GA,13,senate,0.8313388970870897
1978,ID,16,senate,0.3155639735677546
1978,IL,17,senate,0.4547234897154075
1978,IA,19,senate,0.4791141144054642
1978,KS,20,senate,0.42412588019587655
1978,KY,21,senate,0.6097742578909063
1978,ME,23,senate,0.3394354782812692
1978,MA,25,senate,0.5505781336556378
1978,MI,26,senate,0.5213859897492825
1978,MN,27,senate,0.34566433261292523
1978,MN,27,senate,0.4038758159762423
1978,MS,28,senate,0.31773900609247824
1978,MT,30,senate,0.5568934021434873
1978,NE,31,senate,0.6765788716935128
1978,NH,33,senate,0.4850811343645738
1978,NJ,34,senate,0.5532320314276008
1978,NM,35,senate,0.4659419424898177
1978,NC,37,senate,0.4548834580309804
1978,OK,40,senate,0.654880784446825
1978,OR,41,senate,0.3827553057753457
1978,RI,44,senate,0.7511239521232388
1978,SC,45,senate,0.4432248051222742
1978,SD,46,senate,0.33164057762354315
1978,TN,47,senate,0.4029300990239341
1978,TX,48,senate,0.4925964523856885
1978,VA,51,senate,0.4978588773546622
1978,WV,54,senate,0.504780572047082
1978,WY,56,senate,0.6216670165861852
1980,AL,1,senate,0.4705391989401253
1980,AK,2,senate,0.4593396358811447
1980,AZ,4,senate,0.4838179077093423
1980,AR,5,senate,0.5908727862593532
1980,CA,6,senate,0.5651238849727751
1980,CO,8,senate,0.5033499780930186
1980,CT,9,senate,0.5633678078277381
1980,FL,12,senate,0.4833887372775953
1980,GA,13,senate,0.4912829173283944
1980,HI,15,senate,0.7794455671062408
1980,ID,16,senate,0.4877526743046126
1980,IL,17,senate,0.5601060604638093
1980,IN,18,senate,0.4621420539525541
1980,IA,19,senate,0.4554043662185803
1980,KS,20,senate,0.3623925270273293
1980,KY,21,senate,0.6512584468615618
1980,MD,24,senate,0.3383267707963996
1980,MO,29,senate,0.520017997401988
1980,NV,32,senate,0.37870622716043295
1980,NH,33,senate,0.4784701114488348
1980,NY,36,senate,0.4353613368370687
1980,NC,37,senate,0.4937810993705724
1980,OH,39,senate,0.6880003813966816
1980,OK,40,senate,0.4354781142389925
1980,OR,41,senate,0.4401276990497101
1980,PA,42,senate,0.480391766307337
1980,SC,45,senate,0.7036806433084434
1980,SD,46,senate,0.3939745570694825
1980,UT,49,senate,0.2548452123345527
1980,VT,50,senate,0.4981542051605746
1980,WA,53,senate,0.4582655671329444
1980,WI,55,senate,0.4833889997377736
1982,AZ,4,senate,0.5691097342809976
1982,CA,6,senate,0.4477599625902414
1982,CT,9,senate,0.4606758787198618
1982,DE,10,senate,0.4420454545454545
1982,FL,12,senate,0.6171912540009701
1982,HI,15,senate,0.8008420090728109
1982,IN,18,senate,0.4558443437937981
1982,ME,23,senate,0.6086792904299403
1982,MD,24,senate,0.6345764293211565
1982,MA,25,senate,0.6081055447980733
1982,MI,26,senate,0.5773547640309998
1982,MN,27,senate,0.4656799700777148
1982,MS,28,senate,0.6419880748993064
1982,MO,29,senate,0.49149250317941906
1982,MT,30,senate,0.5446331238203214
1982,NE,31,senate,0.6659067125815775
1982,NV,32,senate,0.4879687958587306
1982,NJ,34,senate,0.5093787674713814
1982,NM,35,senate,0.5377386922259826
1982,NY,36,senate,0.6219886390743135
1982,ND,38,senate,0.6281713752309832
1982,OH,39,senate,0.5665698610174813
1982,PA,42,senate,0.3920429132534319
1982,RI,44,senate,0.4880214016068709
1982,TN,47,senate,0.6192429660616693
1982,TX,48,senate,0.5859249598877534
1982,UT,49,senate,0.413491283001948
1982,VT,50,senate,0.4722562826633016
1982,VA,51,senate,0.4880109238200593
1982,WA,53,senate,0.6895663497204189
1982,WV,54,senate,0.6848760158071443
1982,WI,55,senate,0.6364954498172354
1982,WY,56,senate,0.4334324216016413
1984,AL,1,senate,0.6275624729258463
1984,AK,2,senate,0.2848506573402184
1984,AR,5,senate,0.5734774349396545
1984,CO,8,senate,0.3462196671467065
1984,DE,10,senate,0.6011051835466714
1984,GA,13,senate,0.7994223668684101
1984,ID,16,senate,0.25996878139095153
1984,IL,17,senate,0.5007305734819059
1984,IA,19,senate,0.5545625435135763
1984,KS,20,senate,0.2123586250625797
1984,ME,23,senate,0.25865877411562443
