state_po,year,leading_index
AL,1982,-0.9458333333333332
AL,1983,3.955833333333333
AL,1984,2.710833333333333
AL,1985,1.6966666666666668
AL,1986,0.84
AL,1987,2.44
AL,1988,1.4216666666666669
AL,1989,1.1075
AL,1990,0.1641666666666667
AL,1991,0.8133333333333334
AL,1992,1.3950000000000002
AL,1993,1.6916666666666669
AL,1994,2.1391666666666667
AL,1995,1.4991666666666668
AL,1996,0.9466666666666668
AL,1997,1.6816666666666666
AL,1998,0.89
AL,1999,0.9041666666666668
AL,2000,0.9141666666666666
AL,2001,-0.15333333333333335
AL,2002,1.5416666666666667
AL,2003,1.225
AL,2004,2.414166666666667
AL,2005,1.7175
AL,2006,1.1033333333333333
AL,2007,0.2275000000000001
AL,2008,-2.0675
AL,2009,-0.7449999999999998
AL,2010,2.0916666666666663
AL,2011,2.7616666666666667
AL,2012,1.3225
AL,2013,1.115
AL,2014,2.1316666666666664
AL,2015,1.174166666666667
AL,2016,1.2608333333333337
AL,2017,2.3416666666666663
AL,2018,1.7608333333333333
AL,2019,1.6008333333333338
AL,2020,1.085
AK,1982,0.5424999999999999
AK,1983,1.2566666666666666
AK,1984,0.9441666666666664
AK,1985,0.2583333333333333
AK,1986,-0.2541666666666667
AK,1987,0.9608333333333332
AK,1988,1.4316666666666666
AK,1989,0.9558333333333334
AK,1990,0.6441666666666666
AK,1991,-0.2
AK,1992,0.8675
AK,1993,0.9699999999999998
AK,1994,1.0141666666666664
AK,1995,0.4608333333333333
AK,1996,0.5958333333333333
AK,1997,1.0475
AK,1998,0.7025000000000001
AK,1999,0.7033333333333335
AK,2000,0.6475000000000001
AK,2001,0.3275
AK,2002,0.4900000000000001
AK,2003,0.5
AK,2004,1.1825
AK,2005,0.8241666666666667
AK,2006,0.8308333333333334
AK,2007,0.4958333333333334
AK,2008,0.2916666666666667
AK,2009,0.18916666666666668
AK,2010,0.9225
AK,2011,0.7733333333333334
AK,2012,0.6983333333333334
AK,2013,0.5158333333333335
AK,2014,0.8433333333333333
AK,2015,0.4325000000000001
AK,2016,0.3341666666666667
AK,2017,0.6816666666666666
AK,2018,1.0841666666666667
AK,2019,0.5941666666666667
AK,2020,1.38
AZ,1982,-1.0816666666666668
AZ,1983,7.445
AZ,1984,2.3316666666666666
AZ,1985,1.4025
AZ,1986,1.2308333333333332
AZ,1987,2.6141666666666667
AZ,1988,1.981666666666667
AZ,1989,2.4875000000000003
AZ,1990,1.5758333333333334
AZ,1991,0.4633333333333333
AZ,1992,2.6899999999999995
AZ,1993,3.39
AZ,1994,2.5116666666666667
AZ,1995,2.2575
AZ,1996,1.6908333333333336
AZ,1997,2.919166666666667
AZ,1998,1.5783333333333334
AZ,1999,2.0741666666666667
AZ,2000,1.8125
AZ,2001,-0.021666666666666667
AZ,2002,2.125
AZ,2003,3.0325
AZ,2004,2.8441666666666667
AZ,2005,2.2133333333333334
AZ,2006,1.5683333333333331
AZ,2007,0.8258333333333333
AZ,2008,-2.12
AZ,2009,-0.10749999999999987
AZ,2010,2.8425
AZ,2011,3.2641666666666667
AZ,2012,3.2675
AZ,2013,2.4658333333333333
AZ,2014,2.9291666666666667
AZ,2015,3.016666666666667
AZ,2016,2.3266666666666667
AZ,2017,2.4058333333333337
AZ,2018,1.9533333333333327
AZ,2019,2.0041666666666664
AZ,2020,1.935
AR,1982,0.445
AR,1983,2.0075
AR,1984,1.7133333333333336
AR,1985,1.3783333333333332
AR,1986,1.3533333333333335
AR,1987,1.6041666666666667
AR,1988,1.4966666666666668
AR,1989,1.4158333333333333
AR,1990,1.1741666666666668
AR,1991,1.2191666666666665
AR,1992,1.6841666666666668
AR,1993,1.7966666666666666
AR,1994,1.8383333333333327
AR,1995,1.2825
AR,1996,1.0975
AR,1997,1.2358333333333336
AR,1998,1.1341666666666663
AR,1999,1.4
AR,2000,1.0008333333333337
AR,2001,0.5741666666666667
AR,2002,1.0166666666666666
AR,2003,1.0783333333333334
AR,2004,1.3225
AR,2005,1.2816666666666667
AR,2006,0.9383333333333332
AR,2007,0.8258333333333333
AR,2008,0.5566666666666668
AR,2009,0.19666666666666668
AR,2010,1.1341666666666668
AR,2011,1.1475000000000002
AR,2012,1.2558333333333334
AR,2013,1.1866666666666668
AR,2014,1.5491666666666664
AR,2015,1.5616666666666663
AR,2016,1.3708333333333336
AR,2017,1.225
AR,2018,1.0833333333333333
AR,2019,0.9625
AR,2020,0.835
CA,1982,-0.0966666666666666
CA,1983,3.820833333333333
CA,1984,2.523333333333333
CA,1985,2.293333333333333
CA,1986,2.1275000000000004
CA,1987,2.2558333333333334
CA,1988,2.1508333333333334
CA,1989,1.4708333333333334
CA,1990,-0.10666666666666667
CA,1991,0.5008333333333332
CA,1992,0.7383333333333333
CA,1993,2.131666666666667
CA,1994,2.64
CA,1995,1.6766666666666667
CA,1996,2.2133333333333334
CA,1997,2.3008333333333333
CA,1998,1.8483333333333332
CA,1999,2.024166666666667
CA,2000,1.7508333333333332
CA,2001,0.105
CA,2002,1.5716666666666663
CA,2003,1.9408333333333327
CA,2004,2.3041666666666667
CA,2005,2.1358333333333333
CA,2006,1.2175
CA,2007,0.3399999999999999
CA,2008,-1.2408333333333332
CA,2009,-0.4566666666666668
CA,2010,1.5874999999999997
CA,2011,2.4708333333333328
CA,2012,3.0025
CA,2013,2.700833333333333
CA,2014,2.7900000000000005
CA,2015,2.703333333333333
CA,2016,1.9833333333333327
CA,2017,2.273333333333333
CA,2018,1.4858333333333336
CA,2019,1.6916666666666669
CA,2020,1.77
CO,1982,0.2816666666666667
