state_po,year,graduate_education_rate
ME,2014,0.1
ME,2015,0.106
ME,2016,0.113
ME,2017,0.121
ME,2018,0.114
ME,2019,0.124
MD,2006,0.157
MD,2007,0.157
MD,2008,0.154
MD,2009,0.16
MD,2010,0.16399999999999998
MD,2011,0.165
MD,2012,0.16899999999999998
MD,2013,0.171
MD,2014,0.175
MD,2015,0.177
MD,2016,0.185
MD,2017,0.183
MD,2018,0.189
MD,2019,0.191
MA,2006,0.156
MA,2007,0.16
MA,2008,0.16399999999999998
MA,2009,0.16399999999999998
MA,2010,0.16699999999999998
MA,2011,0.168
MA,2012,0.171
MA,2013,0.17800000000000002
MA,2014,0.18
MA,2015,0.184
MA,2016,0.19
MA,2017,0.195
MA,2018,0.201
MA,2019,0.203
MI,2006,0.092
MI,2007,0.095
MI,2008,0.094
MI,2009,0.094
MI,2010,0.096
MI,2011,0.099
MI,2012,0.1
MI,2013,0.105
MI,2014,0.108
MI,2015,0.108
MI,2016,0.111
MI,2017,0.115
MI,2018,0.115
MI,2019,0.119
MN,2006,0.096
MN,2007,0.1
MN,2008,0.1
MN,2009,0.103
MN,2010,0.103
MN,2011,0.105
MN,2012,0.108
MN,2013,0.111
MN,2014,0.116
MN,2015,0.118
MN,2016,0.117
MN,2017,0.125
MN,2018,0.125
MN,2019,0.127
MS,2006,0.061
MS,2007,0.064
MS,2008,0.068
MS,2009,0.071
MS,2010,0.071
MS,2011,0.073
MS,2012,0.076
MS,2013,0.075
MS,2014,0.08
MS,2015,0.079
MS,2016,0.08199999999999999
MS,2017,0.083
MS,2018,0.08800000000000001
MS,2019,0.086
MO,2006,0.087
MO,2007,0.08900000000000001
MO,2008,0.091
MO,2009,0.095
MO,2010,0.095
MO,2011,0.097
MO,2012,0.097
MO,2013,0.1
MO,2014,0.104
MO,2015,0.106
MO,2016,0.108
MO,2017,0.111
MO,2018,0.115
MO,2019,0.118
MT,2006,0.084
MT,2007,0.086
MT,2008,0.084
MT,2009,0.083
MT,2010,0.09
MT,2011,0.086
MT,2012,0.092
MT,2013,0.093
MT,2014,0.098
MT,2015,0.102
MT,2016,0.101
MT,2017,0.106
MT,2018,0.11
MT,2019,0.105
NE,2006,0.084
NE,2007,0.08800000000000001
NE,2008,0.086
NE,2009,0.08800000000000001
NE,2010,0.09
NE,2011,0.091
NE,2012,0.097
NE,2013,0.098
NE,2014,0.093
NE,2015,0.104
NE,2016,0.104
NE,2017,0.108
NE,2018,0.111
NE,2019,0.114
NV,2006,0.07200000000000001
NV,2007,0.075
NV,2008,0.07
NV,2009,0.076
NV,2010,0.07400000000000001
NV,2011,0.076
NV,2012,0.075
NV,2013,0.075
NV,2014,0.079
NV,2015,0.081
NV,2016,0.081
NV,2017,0.084
NV,2018,0.087
NV,2019,0.09
NH,2006,0.112
NH,2007,0.115
NH,2008,0.12
NH,2009,0.112
NH,2010,0.124
NH,2011,0.124
NH,2012,0.126
NH,2013,0.126
NH,2014,0.133
NH,2015,0.13699999999999998
NH,2016,0.141
NH,2017,0.14300000000000002
NH,2018,0.145
NH,2019,0.147
NJ,2006,0.124
NJ,2007,0.127
NJ,2008,0.128
NJ,2009,0.129
NJ,2010,0.133
NJ,2011,0.133
NJ,2012,0.138
NJ,2013,0.14
NJ,2014,0.14300000000000002
NJ,2015,0.14300000000000002
NJ,2016,0.149
NJ,2017,0.156
NJ,2018,0.16
NJ,2019,0.161
NM,2006,0.109
NM,2007,0.102
NM,2008,0.107
NM,2009,0.104
NM,2010,0.108
NM,2011,0.111
NM,2012,0.112
NM,2013,0.114
NM,2014,0.114
NM,2015,0.121
NM,2016,0.117
NM,2017,0.118
NM,2018,0.12
NM,2019,0.122
NY,2006,0.133
NY,2007,0.135
NY,2008,0.138
NY,2009,0.14
NY,2010,0.14
NY,2011,0.142
NY,2012,0.14400000000000002
NY,2013,0.14800000000000002
NY,2014,0.149
NY,2015,0.15
NY,2016,0.155
NY,2017,0.158
NY,2018,0.16399999999999998
NY,2019,0.166
NC,2006,0.083
NC,2007,0.086
NC,2008,0.086
NC,2009,0.08800000000000001
NC,2010,0.087
NC,2011,0.092
NC,2012,0.093
NC,2013,0.099
NC,2014,0.101
NC,2015,0.106
NC,2016,0.108
NC,2017,0.112
NC,2018,0.114
NC,2019,0.118
ND,2006,0.065
ND,2007,0.064
ND,2008,0.066
ND,2009,0.067
ND,2010,0.079
ND,2011,0.07
ND,2012,0.084
ND,2013,0.07200000000000001
ND,2014,0.076
ND,2015,0.077
ND,2016,0.078
ND,2017,0.09
ND,2018,0.076
ND,2019,0.08900000000000001
OH,2006,0.083
OH,2007,0.08800000000000001
OH,2008,0.087
OH,2009,0.08800000000000001
OH,2010,0.08900000000000001
OH,2011,0.092
OH,2012,0.093
OH,2013,0.097
OH,2014,0.101
OH,2015,0.1
OH,2016,0.103
OH,2017,0.106
OH,2018,0.111
OH,2019,0.111
OK,2006,0.07200000000000001
OK,2007,0.076
OK,2008,0.07200000000000001
OK,2009,0.07400000000000001
OK,2010,0.075
OK,2011,0.078
OK,2012,0.079
OK,2013,0.077
OK,2014,0.081
OK,2015,0.081
OK,2016,0.084
OK,2017,0.086
OK,2018,0.09
OK,2019,0.091
OR,2006,0.1
OR,2007,0.103
OR,2008,0.101
OR,2009,0.104
OR,2010,0.105
OR,2011,0.109
OR,2012,0.113
OR,2013,0.115
OR,2014,0.116
OR,2015,0.12
OR,2016,0.127
OR,2017,0.127
OR,2018,0.129
OR,2019,0.135
PA,2006,0.096
PA,2007,0.099
PA,2008,0.1
PA,2009,0.102
PA,2010,0.104
PA,2011,0.104
PA,2012,0.109
PA,2013,0.112
PA,2014,0.114
PA,2015,0.116
PA,2016,0.12
