District,Urban,Suburban,Rural,Urban %,Suburban %,Rural %,Most Prevalent
RI-02,"129,845","297,140","94,936",24.9,56.9,18.2,Suburban
South Carolina,"724,890","2,368,955","1,799,607",14.8,48.4,36.8,Suburban
SC-01,"118,688","528,741","103,988",15.8,70.4,13.8,Suburban
SC-02,"96,979","412,032","199,636",13.7,58.1,28.2,Suburban
SC-03,"74,675","230,811","373,462",11.0,34.0,55.0,Rural
SC-04,"125,698","399,503","179,138",17.8,56.7,25.4,Suburban
SC-05,"75,356","294,604","326,800",10.8,42.3,46.9,Rural
SC-06,"152,081","218,627","285,324",23.2,33.3,43.5,Rural
SC-07,"81,412","284,638","331,259",11.7,40.8,47.5,Rural
South Dakota,"177,858","335,251","342,337",20.8,39.2,40.0,Rural
SD-AL,"177,858","335,251","342,337",20.8,39.2,40.0,Rural
Tennessee,"1,406,166","2,832,879","2,358,326",21.3,42.9,35.7,Suburban
TN-01,"91,053","243,076","378,914",12.8,34.1,53.1,Rural
TN-02,"119,996","405,044","204,842",16.4,55.5,28.1,Suburban
TN-03,"140,311","260,603","326,448",19.3,35.8,44.9,Rural
TN-04,"107,383","317,654","334,498",14.1,41.8,44.0,Rural
TN-05,"253,343","416,016","92,392",33.3,54.6,12.1,Suburban
TN-06,"78,794","295,686","369,312",10.6,39.8,49.7,Rural
TN-07,"75,482","319,610","352,021",10.1,42.8,47.1,Rural
TN-08,"119,628","321,760","260,717",17.0,45.8,37.1,Suburban
TN-09,"420,176","253,430","39,181",58.9,35.6,5.5,Urban
Texas,"7,470,245","15,296,734","4,652,627",27.2,55.8,17.0,Suburban
TX-01,"115,843","266,602","330,060",16.3,37.4,46.3,Rural
TX-02,"240,611","526,662","29,024",30.2,66.1,3.6,Suburban
TX-03,"126,674","655,687","23,326",15.7,81.4,2.9,Suburban
TX-04,"99,838","256,126","371,960",13.7,35.2,51.1,Rural
TX-05,"187,122","290,330","263,757",25.2,39.2,35.6,Suburban
TX-06,"134,563","524,490","103,245",17.7,68.8,13.5,Suburban
TX-07,"252,056","483,298","5,097",34.0,65.3,0.7,Suburban
TX-08,"65,803","477,266","259,737",8.2,59.4,32.4,Suburban
TX-09,"319,723","459,277","20,525",40.0,57.4,2.6,Suburban
TX-10,"129,764","525,619","158,670",15.9,64.6,19.5,Suburban
TX-11,"151,653","370,609","232,143",20.1,49.1,30.8,Suburban
TX-12,"174,341","464,142","124,656",22.8,60.8,16.3,Suburban
TX-13,"155,302","338,434","212,877",22.0,47.9,30.1,Suburban
TX-14,"179,107","439,350","109,402",24.6,60.4,15.0,Suburban
TX-15,"240,703","339,837","179,023",31.7,44.7,23.6,Suburban
TX-16,"221,549","492,952","21,026",30.1,67.0,2.9,Suburban
TX-17,"162,891","412,279","185,146",21.4,54.2,24.4,Suburban
TX-18,"377,640","351,054","21,465",50.3,46.8,2.9,Urban
TX-19,"186,162","340,494","196,045",25.8,47.1,27.1,Suburban
TX-20,"265,246","493,646","18,989",34.1,63.5,2.4,Suburban
TX-21,"233,491","396,536","143,298",30.2,51.3,18.5,Suburban
TX-22,"67,242","715,457","57,371",8.0,85.2,6.8,Suburban
TX-23,"209,199","329,827","225,703",27.4,43.1,29.5,Suburban
TX-24,"175,700","590,810","6,837",22.7,76.4,0.9,Suburban
TX-25,"162,977","360,776","233,105",21.5,47.7,30.8,Suburban
TX-26,"88,064","693,374","53,175",10.6,83.1,6.4,Suburban
TX-27,"231,388","320,523","182,283",31.5,43.7,24.8,Suburban
TX-28,"248,789","326,631","157,874",33.9,44.5,21.5,Suburban
TX-29,"370,501","335,070","41,707",49.6,44.8,5.6,Urban
TX-30,"367,857","350,729","20,833",49.7,47.4,2.8,Urban
TX-31,"126,464","558,092","118,429",15.7,69.5,14.7,Suburban
TX-32,"278,169","479,876","12,271",36.1,62.3,1.6,Suburban
TX-33,"424,547","300,833","15,791",57.3,40.6,2.1,Urban
TX-34,"300,396","235,776","188,753",41.4,32.5,26.0,Urban
TX-35,"310,704","435,116","52,189",38.9,54.5,6.5,Suburban
TX-36,"88,167","359,155","276,834",12.2,49.6,38.2,Suburban
Utah,"587,860","1,957,121","448,959",19.6,65.4,15.0,Suburban
UT-01,"155,606","445,908","139,550",21.0,60.2,18.8,Suburban
UT-02,"173,497","435,508","128,493",23.5,59.1,17.4,Suburban
UT-03,"149,808","492,865","93,844",20.3,66.9,12.7,Suburban
UT-04,"108,949","582,841","87,072",14.0,74.8,11.2,Suburban
Vermont,"81,200","168,680","374,757",13.0,27.0,60.0,Rural
VT-AL,"81,200","168,680","374,757",13.0,27.0,60.0,Rural
Virginia,"1,582,974","4,712,085","2,070,882",18.9,56.3,24.8,Suburban
VA-01,"42,135","452,291","289,962",5.4,57.7,37.0,Suburban
VA-02,"194,692","471,273","68,924",26.5,64.1,9.4,Suburban
VA-03,"276,739","433,005","34,736",37.2,58.2,4.7,Suburban
VA-04,"236,420","374,730","150,315",31.0,49.2,19.7,Suburban
VA-05,"72,242","207,548","447,327",9.9,28.5,61.5,Rural
VA-06,"139,999","321,911","285,810",18.7,43.1,38.2,Suburban
VA-07,"63,000","489,837","212,284",8.2,64.0,27.7,Suburban
VA-08,"314,272","465,705","10,789",39.7,58.9,1.4,Suburban
VA-09,"62,302","187,748","465,941",8.7,26.2,65.1,Rural
VA-10,"67,935","652,149","97,830",8.3,79.7,12.0,Suburban
VA-11,"113,237","655,889","6,965",14.6,84.5,0.9,Suburban
Washington,"1,585,521","4,172,702","1,411,746",22.1,58.2,19.7,Suburban
WA-01,"69,042","503,077","149,333",9.6,69.7,20.7,Suburban
WA-02,"151,246","444,919","123,313",21.0,61.8,17.1,Suburban
WA-03,"107,531","381,631","219,846",15.2,53.8,31.0,Suburban
WA-04,"127,597","358,711","224,587",17.9,50.5,31.6,Suburban
WA-05,"163,354","341,867","191,157",23.5,49.1,27.5,Suburban
WA-06,"128,088","342,891","216,572",18.6,49.9,31.5,Suburban
WA-07,"428,809","301,333","9,827",57.9,40.7,1.3,Urban
WA-08,"70,465","511,440","151,829",9.6,69.7,20.7,Suburban
WA-09,"214,841","505,688","13,521",29.3,68.9,1.8,Suburban
WA-10,"124,548","481,147","111,761",17.4,67.1,15.6,Suburban
West Virginia,"252,791","549,452","1,034,598",13.8,29.9,56.3,Rural
WV-01,"105,973","205,093","304,382",17.2,33.3,49.5,Rural
WV-02,"77,989","211,328","334,404",12.5,33.9,53.6,Rural
WV-03,"68,828","133,032","395,812",11.5,22.3,66.2,Rural
Wisconsin,"1,422,944","2,615,066","1,725,191",24.7,45.4,29.9,Suburban
WI-01,"149,947","411,184","152,097",21.0,57.7,21.3,Suburban
WI-02,"204,200","376,411","165,879",27.4,50.4,22.2,Suburban
WI-03,"119,608","257,725","344,494",16.6,35.7,47.7,Rural
WI-04,"493,459","215,598","6,962",68.9,30.1,1.0,Urban
WI-05,"109,262","493,228","119,858",15.1,68.3,16.6,Suburban
WI-06,"111,041","371,196","230,104",15.6,52.1,32.3,Suburban
WI-07,"93,645","176,870","433,122",13.3,25.1,61.6,Rural
WI-08,"141,782","312,855","272,676",19.5,43.0,37.5,Suburban
Wyoming,"105,583","257,596","220,020",18.1,44.2,37.7,Suburban
WY-AL,"105,583","257,596","220,020",18.1,44.2,37.7,Suburban
