District,Urban,Suburban,Rural,Urban %,Suburban %,Rural %,Most Prevalent
CT-01,"157,710","500,900","55,857",22.1,70.1,7.8,Suburban
CT-02,"69,384","381,433","259,063",9.8,53.7,36.5,Suburban
CT-03,"195,343","466,787","50,878",27.4,65.5,7.1,Suburban
CT-04,"236,785","469,135","34,913",32.0,63.3,4.7,Suburban
CT-05,"121,561","469,205","125,520",17.0,65.5,17.5,Suburban
Delaware,"158,557","576,003","209,169",16.8,61.0,22.2,Suburban
DE-AL,"158,557","576,003","209,169",16.8,61.0,22.2,Suburban
District of Columbia,"610,301","60,072","2,018",90.8,8.9,0.3,Urban
DC-AL,"610,301","60,072","2,018",90.8,8.9,0.3,Urban
Florida,"4,820,072","12,937,010","2,521,349",23.8,63.8,12.4,Suburban
FL-01,"111,822","453,631","184,796",14.9,60.5,24.6,Suburban
FL-02,"88,793","256,891","371,881",12.4,35.8,51.8,Rural
FL-03,"114,039","358,905","242,502",15.9,50.2,33.9,Suburban
FL-04,"120,116","559,250","90,473",15.6,72.6,11.8,Suburban
FL-05,"214,242","347,394","147,472",30.2,49.0,20.8,Suburban
FL-06,"118,218","505,411","118,082",15.9,68.1,15.9,Suburban
FL-07,"146,451","565,988","27,243",19.8,76.5,3.7,Suburban
FL-08,"88,474","560,456","88,056",12.0,76.0,11.9,Suburban
FL-09,"196,130","500,636","124,551",23.9,61.0,15.2,Suburban
FL-10,"194,293","563,976","22,709",24.9,72.2,2.9,Suburban
FL-11,"85,708","412,183","241,990",11.6,55.7,32.7,Suburban
FL-12,"107,005","543,926","87,904",14.5,73.6,11.9,Suburban
FL-13,"221,749","488,838","9,839",30.8,67.9,1.4,Suburban
FL-14,"293,648","445,390","11,231",39.1,59.4,1.5,Suburban
FL-15,"130,993","526,082","102,697",17.2,69.2,13.5,Suburban
FL-16,"114,859","586,972","82,655",14.6,74.8,10.5,Suburban
FL-17,"82,969","425,908","233,045",11.2,57.4,31.4,Suburban
FL-18,"93,024","580,261","75,076",12.4,77.5,10.0,Suburban
FL-19,"127,719","589,302","70,056",16.2,74.9,8.9,Suburban
FL-20,"263,671","493,624","17,312",34.0,63.7,2.2,Suburban
FL-21,"132,727","604,546","11,941",17.7,80.7,1.6,Suburban
FL-22,"191,768","541,251","9,941",25.8,72.9,1.3,Suburban
FL-23,"153,773","575,342","15,977",20.6,77.2,2.1,Suburban
FL-24,"436,278","297,489","5,841",59.0,40.2,0.8,Urban
FL-25,"328,408","359,475","64,794",43.6,47.8,8.6,Suburban
FL-26,"292,671","421,690","55,588",38.0,54.8,7.2,Suburban
FL-27,"370,526","372,192","7,697",49.4,49.6,1.0,Suburban
Georgia,"1,745,555","5,703,741","2,752,349",17.1,55.9,27.0,Suburban
GA-01,"136,414","334,302","252,549",18.9,46.2,34.9,Suburban
GA-02,"172,409","277,498","229,417",25.4,40.8,33.8,Suburban
GA-03,"63,955","363,917","297,979",8.8,50.1,41.1,Suburban
GA-04,"169,908","494,120","66,173",23.3,67.7,9.1,Suburban
GA-05,"439,870","287,886","18,337",59.0,38.6,2.5,Urban
GA-06,"91,390","634,302","16,267",12.3,85.5,2.2,Suburban
GA-07,"57,697","707,966","24,761",7.3,89.6,3.1,Suburban
GA-08,"108,618","268,262","332,439",15.3,37.8,46.9,Rural
GA-09,"58,634","246,448","420,238",8.1,34.0,57.9,Rural
GA-10,"80,724","320,324","319,678",11.2,44.4,44.4,Suburban
GA-11,"81,331","593,986","90,390",10.6,77.6,11.8,Suburban
GA-12,"124,704","315,759","273,781",17.5,44.2,38.3,Suburban
GA-13,"94,484","551,197","76,233",13.1,76.4,10.6,Suburban
GA-14,"65,417","307,774","334,107",9.2,43.5,47.2,Rural
Hawaii,"383,538","804,884","233,234",27.0,56.6,16.4,Suburban
HI-01,"272,068","408,120","30,536",38.3,57.4,4.3,Suburban
HI-02,"111,470","396,764","202,697",15.7,55.8,28.5,Suburban
Idaho,"256,176","818,391","582,804",15.5,49.4,35.2,Suburban
ID-01,"109,947","434,778","304,295",12.9,51.2,35.8,Suburban
ID-02,"146,229","383,613","278,509",18.1,47.5,34.5,Suburban
Illinois,"4,201,702","6,835,790","1,817,022",32.7,53.2,14.1,Suburban
IL-01,"397,968","293,600","17,725",56.1,41.4,2.5,Urban
IL-02,"260,311","384,490","57,422",37.1,54.8,8.2,Suburban
IL-03,"256,341","456,254","19,609",35.0,62.3,2.7,Suburban
IL-04,"584,010","116,442","4,377",82.9,16.5,0.6,Urban
IL-05,"518,133","223,019","3,842",69.5,29.9,0.5,Urban
IL-06,"37,305","651,803","19,491",5.3,92.0,2.8,Suburban
IL-07,"581,631","127,573","9,172",81.0,17.8,1.3,Urban
IL-08,"79,933","642,067","10,648",10.9,87.6,1.5,Suburban
IL-09,"326,024","393,184","3,207",45.1,54.4,0.4,Suburban
IL-10,"100,077","599,502","24,372",13.8,82.8,3.4,Suburban
IL-11,"97,893","573,848","12,511",14.3,83.9,1.8,Suburban
IL-12,"172,867","329,239","196,523",24.7,47.1,28.1,Suburban
IL-13,"184,776","344,281","171,081",26.4,49.2,24.4,Suburban
IL-14,"30,426","594,286","132,532",4.0,78.5,17.5,Suburban
